Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Атаманюк,Мирон,Олександрович,Чоловіча,1949-07-01,Сценарист,село Сколе,"сквер Почаївська, буд. 3, Керч, 24795",067 741-90-71,onufriienkovolodymyr@example.org
Каденюк,Дмитро,Дмитрович,Чоловіча,1974-06-01,Письменник,місто Рівне,"шосе Краснова, буд. 25 кв. 27, Кам'янка-Дніпровська, 77165",038 66 75,aieremenko@example.net
Шиян,Ігор,Андрійович,Чоловіча,1965-06-27,Програміст,місто Стрий,"площа Кропивницького, буд. 453 кв. 27, Жданівка, 09224",444-52-34,mdzhus@example.org
Гречко,Аарон,Андрійович,Чоловіча,1972-09-26,Конструктор,селище Лозова,"сквер Флотський 1-й, буд. 429, Красилів, 22782",+380 09 885-12-21,udankevych@example.net
Баранець,Михайло,Юрійович,Чоловіча,1993-05-30,Ді-джей,село Новогродівка,"парк Центральний аеропорт, буд. 480, Сніжне, 73387",808 26 65,dtsisyk@example.com
Артюх,Герман,Юрійович,Чоловіча,1957-09-15,Сантехнік,місто Житомир,"провулок Деревообробний 5-й, буд. 23, Підгородне, 48922",+380 57 511 71 20,zudovychenko@example.com
Девдюк,Пармен,Михайлович,Чоловіча,1963-12-03,Географ,село Зеленодольськ,"набережна Сім'ї Глодан, буд. 838 кв. 8, Підгайці, 12677",465-34-47,voblatetiana@example.com
Фастенко,Руслан,Іванович,Чоловіча,1995-04-15,Лікар,селище Галич,"узвіз Льва Симиренка, буд. 4, Любомль, 37079",785-28-74,olehlesyk@example.org
Яремко,Леонтій,Олександрович,Чоловіча,1973-08-29,Живописець,село Армянськ,"площа Леся Курбаса, буд. 70, Обухів, 34596",+380 69 583-83-28,kshukhevych@example.net
Дутка,Владислав,Юрійович,Чоловіча,1943-11-28,Каскадер,місто Багачеве,"парк Балтиморська, буд. 5 кв. 97, Прип'ять, 17793",193 72 11,heorhiiiurchuk@example.org
Матвієнко,Віктор,Юрійович,Чоловіча,2004-05-11,Фізик,село Прип'ять,"сквер Чорноморський 10-й, буд. 8, Кагарлик, 54735",720 58 44,zakhar54@example.net
Сагаль,Соломон,Богданович,Чоловіча,1975-08-18,Кінолог,село Мукачево,"набережна Малинова, буд. 81 кв. 4, Ізмаїл, 86164",+380 60 389-95-72,otychyna@example.net
Тихий,Валерій,Сергійович,Чоловіча,1963-03-20,Хореограф,селище Білгород-Дністровський,"шосе Корнюшина, буд. 76, Новомиргород, 52268",955-61-78,ielysaveta80@example.org
Чумак,Гліб,Михайлович,Чоловіча,1975-03-13,Ботанік,село Вишневе,"узвіз 13-та ст. Великого Фонтану пляж, буд. 52 кв. 081, Хмельницький, 49944",011 759-03-57,nkyrylenko@example.com
Притула,Роман,Богданович,Чоловіча,1998-01-07,Мікробіолог,селище Вінниця,"узвіз Відважних, буд. 9 кв. 78, Федорівка, 13050",014 809 08 52,lahodakamilla@example.org
Засуха,Тимофій,Юрійович,Чоловіча,1984-09-23,Флорист,місто Ворожба,"парк Горбатий міст, буд. 42 кв. 7, Пирятин, 21782",+380 (54) 366-69-19,klyment21@example.org
Семенченко,Володимир,Дмитрович,Чоловіча,2001-03-17,Сценарист,селище Коростень,"сквер Просвіти, буд. 447, Брянка, 69354",+380 (93) 148-02-59,ishchakmykhailyna@example.com
Захарченко,Йосип,Іванович,Чоловіча,1983-10-17,Інженер,хутір Рахів,"сквер Юннатів 1-й, буд. 7, Миколаївка, 98032",030 677-61-89,nusyk@example.org
Перепелиця,Аркадій,Богданович,Чоловіча,1980-11-26,Кушнір,хутір Приморськ,"проспект Леопольда Ященка, буд. 27 кв. 869, Ямпіль, 62376",042 242-13-10,ztsiupa@example.net
Захаренко,Гаврило,Дмитрович,Чоловіча,2006-07-06,Кінорежисер,місто Мерефа,"сквер Вернидуба, буд. 2, Шпола, 10048",751 92 69,revaartem@example.com
Валенко,Пармен,Дмитрович,Чоловіча,1948-11-04,Хімік,хутір Люботин,"шосе Матроська Слободка , буд. 91 кв. 2, Новий Калинів, 99920",095 836 22 51,markotokar@example.net
Шведченко,Станіслав,Андрійович,Чоловіча,1958-05-27,Штукатур,місто Сорокине,"площа Мерло, буд. 125, Зоринськ, 27910",+380 47 183-73-86,sofiia35@example.org
Базавлученко,Прохір,Богданович,Чоловіча,1996-11-14,Мінералог,місто Мукачево,"шосе Зарічна, буд. 1, Борщів, 63972",038 413 86 39,ielyseivermenych@example.com
Ґереґа,Семен,Андрійович,Чоловіча,1980-10-02,Льотчик,хутір Світловодськ,"сквер Буковецького, буд. 948 кв. 181, Дебальцеве, 18239",516 18 59,zynoviikozachenko@example.com
Яценюк,Лукʼян,Олександрович,Чоловіча,1956-01-08,Інженер,селище Харків,"узвіз Проїзний 2-й, буд. 370 кв. 6, Перемишляни, 69364",+380 37 643-76-51,ivashchenkoolena@example.net
Авдєєнко,Богдан,Іванович,Чоловіча,1940-03-07,Живописець,хутір Тетіїв,"парк Залізничний 3-й, буд. 58 кв. 1, Нетішин, 02207",+380 55 348-13-98,rozaliia06@example.org
Кармалюк,Леопольд,Володимирович,Чоловіча,1980-07-08,Дантист,селище Гірське,"провулок Шота Руставелі, буд. 087, Прип'ять, 25654",073 323-57-09,aievtushok@example.net
Рябченко,Віталій,Юрійович,Чоловіча,2001-04-30,Єгер,хутір Лутугине,"узвіз Марсельська, буд. 63 кв. 23, Токмак, 26681",+380 45 086 21 00,poltavetsorysia@example.org
Овчаренко,Петро,Олександрович,Чоловіча,1945-05-07,Сантехнік,селище Ланівці,"вулиця Рибальський, буд. 541 кв. 4, Брянка, 08842",035 695-32-39,vasyldzhun@example.net
Вівчаренко,Кирило,Андрійович,Чоловіча,1981-05-08,Дерун,хутір Ланівці,"парк Павла Клепацького, буд. 5 кв. 4, Білозерське, 97925",+380 18 075-89-90,leonid35@example.net
Ільєнко,Леон,Сергійович,Чоловіча,1989-04-10,Маркетолог,село Надвірна,"провулок Олександра Станкова, буд. 1 кв. 28, Отаманівка, 25564",122-83-81,mykolailupii@example.org
Дашенко,Феофан,Андрійович,Чоловіча,1987-12-29,Педагог,хутір Бердичів,"узвіз Лиманний, буд. 98, Чистякове, 94805",012 944-93-10,andrusenkokhoma@example.net
Дацюк,Стефан,Іванович,Чоловіча,1987-12-29,Мікробіолог,хутір Новомиргород,"узвіз Яна Длугоша, буд. 964, Батурин, 66075",+380 02 003-52-06,valentynteslia@example.net
Матяш,Віктор,Іванович,Чоловіча,1967-10-17,М'ясник,селище Макіївка,"проспект Уральський, буд. 40 кв. 7, Бахчисарай, 43354",475-36-61,rakada@example.com
Аверченко,Онисим,Юрійович,Чоловіча,1968-05-28,Пілот,селище Путивль,"проспект Шполянська, буд. 407, Хотин, 50224",087 139 06 85,ehunko@example.com
Джус,Ілля,Юрійович,Чоловіча,1986-11-13,Гірник,село Могилів-Подільський,"узвіз Одеса-Головна, буд. 057, Феодосія, 92180",+380 (44) 365-47-56,olena49@example.org
Щорс,Валентин,Іванович,Чоловіча,2001-02-04,Кур'єр,селище Зборів,"парк Зелена балка, буд. 1, Шахтарське, 80938",+380 72 836-51-24,wasaula@example.com
Кириленко,Зорян,Володимирович,Чоловіча,2000-06-29,Астронавт,селище Ізюм,"узвіз Леопольда Ященка, буд. 412, Бахмут, 13844",+380 24 626 37 29,nbabarychenko@example.org
Левченко,Демид,Петрович,Чоловіча,2001-09-24,Геолог,хутір Славутич,"проспект Дніпропетровська дорога, буд. 038 кв. 79, Мала Виска, 79806",060 722 17 98,bkolesnychenko@example.com
Баштан,Борис,Сергійович,Чоловіча,1962-10-02,Письменник,хутір Волочиськ,"площа Владислава Домбровського, буд. 639 кв. 02, Перемишляни, 61528",058 971-10-56,brubets@example.com
